domain,policy,domain_use,legitimate_dmarc_fail,auth_fail_messages,legitimate_messages,legitimate_policy_applied,suspicious_messages,total_messages,auth_ratio
domain_479,reject,1,17,17,17,0,0,17,0.0
domain_480,unknown,0,0,0,0,0,17,17,1.0
domain_481,reject,1,17,17,17,0,0,17,0.0
domain_482,reject,1,17,17,17,0,0,17,0.0
domain_483,reject,1,17,17,17,0,0,17,0.0
domain_484,reject,1,17,17,17,0,0,17,0.0
domain_485,reject,1,17,17,17,0,0,17,0.0
domain_486,monitor,0,17,17,17,0,0,17,0.0
domain_487,unknown,0,0,0,0,0,16,16,1.0
domain_488,reject,1,16,16,16,0,0,16,0.0
domain_489,reject,1,0,0,0,0,16,16,1.0
domain_490,unknown,0,0,0,0,0,16,16,1.0
domain_491,unknown,0,0,0,0,0,16,16,1.0
domain_492,monitor,0,16,16,16,0,0,16,0.0
domain_493,monitor,0,16,16,16,0,0,16,0.0
domain_494,unknown,0,6,6,6,0,9,15,0.0
domain_495,monitor,0,0,0,0,0,15,15,1.0
domain_496,reject,1,0,0,0,0,15,15,1.0
domain_497,reject,0,0,0,0,0,15,15,1.0
domain_498,monitor,1,0,0,0,0,15,15,1.0
domain_499,monitor,1,0,0,0,0,15,15,1.0
domain_500,monitor,0,0,0,0,0,15,15,1.0
domain_501,monitor,0,0,0,0,0,15,15,1.0
domain_502,unknown,0,0,0,0,0,15,15,1.0
domain_503,monitor,0,15,15,15,0,0,15,0.0
domain_504,monitor,0,0,0,0,0,15,15,1.0
domain_505,monitor,0,0,0,0,0,15,15,1.0
domain_506,reject,0,0,0,0,0,15,15,1.0
domain_507,reject,1,14,14,14,0,0,14,0.0
domain_508,reject,0,0,14,14,0,0,14,0.0
domain_509,reject,1,14,14,14,0,0,14,0.0
domain_510,reject,0,13,13,13,0,0,13,0.0
domain_511,unknown,0,0,0,0,0,13,13,1.0
domain_512,unknown,0,0,0,0,0,13,13,1.0
domain_513,monitor,0,0,0,0,0,13,13,1.0
domain_514,unknown,0,0,0,0,0,13,13,1.0
domain_515,monitor,0,0,13,13,0,0,13,0.0
domain_516,unknown,0,10,10,10,1,3,13,0.0
domain_517,reject,1,7,12,12,0,0,12,0.0
domain_518,unknown,0,0,0,0,0,12,12,1.0
domain_519,reject,0,0,0,0,0,12,12,1.0
domain_520,reject,1,0,0,0,0,12,12,1.0
domain_521,unknown,0,0,0,0,0,12,12,1.0
domain_522,reject,1,0,0,0,0,11,11,1.0
domain_523,monitor,1,0,0,0,0,11,11,1.0
domain_524,monitor,1,3,3,3,0,8,11,0.0
domain_525,monitor,0,0,0,0,0,11,11,1.0
domain_526,reject,0,0,0,0,0,11,11,1.0
domain_527,monitor,0,0,0,0,0,11,11,1.0
domain_528,unknown,0,0,0,0,0,10,10,1.0
domain_529,unknown,0,0,0,0,0,10,10,1.0
domain_530,reject,1,10,10,10,0,0,10,0.0
domain_531,reject,1,0,0,0,0,10,10,1.0
domain_532,monitor,1,0,0,0,0,10,10,1.0
domain_533,unknown,0,0,0,0,0,10,10,1.0
domain_534,unknown,0,2,2,2,0,8,10,0.0
domain_535,reject,1,9,9,9,0,0,9,0.0
domain_536,monitor,1,0,0,0,0,9,9,1.0
domain_537,unknown,0,2,2,2,0,7,9,0.0
domain_538,reject,0,0,0,0,0,9,9,1.0
domain_539,unknown,0,0,0,0,0,9,9,1.0
domain_540,monitor,0,0,0,0,0,9,9,1.0
domain_541,monitor,1,0,0,0,0,8,8,1.0
domain_542,unknown,0,0,0,0,0,8,8,1.0
domain_543,monitor,0,8,8,8,0,0,8,0.0
domain_544,unknown,0,0,4,4,0,4,8,0.0
domain_545,reject,1,0,0,0,0,8,8,1.0
domain_546,monitor,1,2,2,2,0,6,8,0.0
domain_547,unknown,0,0,0,0,0,8,8,1.0
domain_548,monitor,0,0,8,8,0,0,8,0.0
domain_549,reject,0,6,8,8,0,0,8,0.0
domain_550,reject,1,0,0,0,0,8,8,1.0
domain_551,unknown,0,2,2,2,0,5,7,0.0
domain_552,monitor,1,0,0,0,0,7,7,1.0
domain_553,reject,1,0,0,0,0,7,7,1.0
domain_554,unknown,0,1,1,1,0,6,7,0.0
domain_555,unknown,0,1,1,1,0,6,7,0.0
domain_556,unknown,0,0,0,0,0,7,7,1.0
domain_557,unknown,0,0,0,0,0,7,7,1.0
domain_558,unknown,0,1,1,1,0,5,6,0.0
domain_559,reject,0,4,6,6,0,0,6,0.0
domain_560,reject,0,2,6,6,0,0,6,0.0
domain_561,reject,1,0,0,0,0,6,6,1.0
domain_562,unknown,0,0,0,0,0,6,6,1.0
domain_563,unknown,0,0,0,0,0,6,6,1.0
domain_564,monitor,1,0,0,0,0,6,6,1.0
domain_565,reject,1,0,0,0,0,5,5,1.0
domain_566,monitor,1,0,0,0,0,5,5,1.0
domain_567,reject,0,0,0,0,0,5,5,1.0
domain_568,monitor,1,0,0,0,0,5,5,1.0
domain_569,unknown,0,0,0,0,0,4,4,1.0
domain_570,reject,1,0,0,0,0,4,4,1.0
domain_571,reject,1,4,4,4,0,0,4,0.0
domain_572,monitor,0,0,4,4,0,0,4,0.0
domain_573,monitor,1,0,0,0,0,4,4,1.0
domain_574,monitor,1,0,0,0,0,4,4,1.0
domain_575,monitor,0,4,4,4,0,0,4,0.0
domain_576,monitor,1,0,0,0,0,4,4,1.0
domain_577,reject,0,0,4,4,0,0,4,0.0
domain_578,reject,1,0,0,0,0,4,4,1.0
domain_579,reject,1,4,4,4,0,0,4,0.0
domain_580,reject,1,0,0,0,0,3,3,1.0
domain_581,unknown,0,0,0,0,0,3,3,1.0
domain_582,monitor,0,0,0,0,0,3,3,1.0
domain_583,monitor,0,3,3,3,0,0,3,0.0
domain_584,monitor,0,3,3,3,0,0,3,0.0
domain_585,reject,1,3,3,3,0,0,3,0.0
domain_586,reject,0,3,3,3,0,0,3,0.0
domain_587,unknown,0,0,0,0,0,3,3,1.0
domain_588,unknown,0,0,0,0,0,3,3,1.0
domain_589,reject,1,0,0,0,0,3,3,1.0
domain_590,reject,0,0,0,3,0,0,3,1.0
domain_591,monitor,1,0,0,0,0,3,3,1.0
domain_592,unknown,0,0,0,0,0,3,3,1.0
domain_593,monitor,0,3,3,3,0,0,3,0.0
domain_594,monitor,1,0,0,0,0,3,3,1.0
domain_595,reject,1,3,3,3,3,0,3,0.0
domain_596,unknown,0,0,0,0,0,3,3,1.0
domain_597,reject,0,2,2,2,0,0,2,0.0
domain_598,reject,0,0,0,0,0,2,2,1.0
domain_599,reject,1,0,0,0,0,2,2,1.0
domain_600,reject,1,1,1,1,0,1,2,0.0
domain_601,reject,1,2,2,2,0,0,2,0.0
domain_602,unknown,0,0,0,0,0,2,2,1.0
domain_603,reject,1,0,0,0,0,2,2,1.0
domain_604,reject,0,2,2,2,0,0,2,0.0
domain_605,unknown,0,0,0,0,0,2,2,1.0
domain_606,unknown,0,0,0,0,0,2,2,1.0
domain_607,monitor,1,0,0,0,0,2,2,1.0
domain_608,reject,1,0,0,0,0,2,2,1.0
domain_609,reject,0,0,2,2,0,0,2,0.0
domain_610,reject,1,1,1,1,0,0,1,0.0
domain_611,reject,1,1,1,1,0,0,1,0.0
domain_612,monitor,1,0,0,0,0,1,1,1.0
domain_613,reject,1,0,0,0,0,1,1,1.0
domain_614,unknown,0,0,0,0,0,1,1,1.0
domain_615,unknown,0,0,0,0,0,1,1,1.0
domain_616,reject,1,0,0,0,0,1,1,1.0
domain_617,reject,0,0,0,0,0,1,1,1.0
domain_618,reject,1,1,1,1,0,0,1,0.0
domain_619,monitor,1,0,0,0,0,1,1,1.0
domain_620,monitor,0,0,0,0,0,1,1,1.0
domain_621,unknown,0,0,0,0,0,1,1,1.0
domain_622,reject,1,1,1,1,0,0,1,0.0
domain_623,reject,1,1,1,1,1,0,1,0.0
domain_624,unknown,0,0,0,0,0,1,1,1.0
domain_625,monitor,1,0,0,0,0,1,1,1.0
domain_626,monitor,0,0,0,0,0,1,1,1.0
domain_627,reject,0,0,0,0,0,1,1,1.0
domain_628,reject,1,1,1,1,0,0,1,0.0
domain_629,monitor,1,1,1,1,0,0,1,0.0
domain_630,monitor,0,0,0,0,0,1,1,1.0
domain_631,reject,1,0,0,0,0,1,1,1.0
domain_632,reject,0,0,0,0,0,1,1,1.0
domain_633,monitor,0,1,1,1,0,0,1,0.0
domain_634,monitor,1,1,1,1,0,0,1,0.0
domain_635,unknown,1,0,0,0,0,1,1,1.0
domain_636,monitor,1,0,0,0,0,1,1,1.0
domain_637,monitor,0,1,1,1,0,0,1,0.0
domain_638,reject,1,1,1,1,0,0,1,0.0
domain_639,reject,1,1,1,1,0,0,1,0.0
domain_640,monitor,1,0,0,0,0,0,0,1.0
domain_641,monitor,0,0,0,0,0,0,0,1.0
domain_642,reject,1,0,0,0,0,0,0,1.0
domain_643,reject,1,0,0,0,0,0,0,1.0
domain_644,monitor,0,0,0,0,0,0,0,1.0
domain_645,reject,1,0,0,0,0,0,0,1.0
domain_646,monitor,1,0,0,0,0,0,0,1.0
domain_647,monitor,1,0,0,0,0,0,0,1.0
domain_648,reject,1,0,0,0,0,0,0,1.0
domain_649,monitor,0,0,0,0,0,0,0,1.0
domain_650,reject,1,0,0,0,0,0,0,1.0
domain_651,reject,1,0,0,0,0,0,0,1.0
domain_652,reject,1,0,0,0,0,0,0,1.0
domain_653,reject,0,0,0,0,0,0,0,1.0
domain_654,reject,0,0,0,0,0,0,0,1.0
domain_655,reject,1,0,0,0,0,0,0,1.0
domain_656,unknown,0,0,0,0,0,0,0,1.0
domain_657,reject,1,0,0,0,0,0,0,1.0
domain_658,reject,1,0,0,0,0,0,0,1.0
domain_659,reject,1,0,0,0,0,0,0,1.0
domain_660,reject,1,0,0,0,0,0,0,1.0
domain_661,reject,0,0,0,0,0,0,0,1.0
domain_662,unknown,0,0,0,0,0,0,0,1.0
domain_663,reject,1,0,0,0,0,0,0,1.0
domain_664,reject,1,0,0,0,0,0,0,1.0
domain_665,reject,1,0,0,0,0,0,0,1.0
domain_666,monitor,1,0,0,0,0,0,0,1.0
domain_667,monitor,1,0,0,0,0,0,0,1.0
domain_668,unknown,1,0,0,0,0,0,0,1.0
domain_669,monitor,1,0,0,0,0,0,0,1.0
domain_670,monitor,0,0,0,0,0,0,0,1.0
domain_671,reject,0,0,0,0,0,0,0,1.0
domain_672,reject,1,0,0,0,0,0,0,1.0
domain_673,reject,0,0,0,0,0,0,0,1.0
domain_674,reject,1,0,0,0,0,0,0,1.0
domain_675,reject,1,0,0,0,0,0,0,1.0
domain_676,monitor,1,0,0,0,0,0,0,1.0
domain_677,monitor,1,0,0,0,0,0,0,1.0
domain_678,reject,0,0,0,0,0,0,0,1.0
domain_679,reject,1,0,0,0,0,0,0,1.0
domain_680,reject,1,0,0,0,0,0,0,1.0
domain_681,unknown,0,0,0,0,0,0,0,1.0
domain_682,reject,1,0,0,0,0,0,0,1.0
domain_683,reject,0,0,0,0,0,0,0,1.0
domain_684,reject,0,0,0,0,0,0,0,1.0
domain_685,reject,0,0,0,0,0,0,0,1.0
domain_686,reject,1,0,0,0,0,0,0,1.0
domain_687,reject,0,0,0,0,0,0,0,1.0
domain_688,monitor,1,0,0,0,0,0,0,1.0
domain_689,monitor,0,0,0,0,0,0,0,1.0
domain_690,reject,1,0,0,0,0,0,0,1.0
domain_691,reject,1,0,0,0,0,0,0,1.0
domain_692,reject,0,0,0,0,0,0,0,1.0
domain_693,reject,0,0,0,0,0,0,0,1.0
domain_694,reject,1,0,0,0,0,0,0,1.0
domain_695,reject,1,0,0,0,0,0,0,1.0
domain_696,monitor,1,0,0,0,0,0,0,1.0
domain_697,reject,1,0,0,0,0,0,0,1.0
domain_698,reject,0,0,0,0,0,0,0,1.0
domain_699,monitor,0,0,0,0,0,0,0,1.0
domain_700,unknown,1,0,0,0,0,0,0,1.0
domain_701,unknown,1,0,0,0,0,0,0,1.0
domain_702,unknown,1,0,0,0,0,0,0,1.0
domain_703,reject,0,0,0,0,0,0,0,1.0
domain_704,monitor,1,0,0,0,0,0,0,1.0
domain_705,reject,1,0,0,0,0,0,0,1.0
domain_706,monitor,1,0,0,0,0,0,0,1.0
domain_707,reject,0,0,0,0,0,0,0,1.0
domain_708,reject,1,0,0,0,0,0,0,1.0
domain_709,reject,0,0,0,0,0,0,0,1.0
domain_710,reject,1,0,0,0,0,0,0,1.0
domain_711,reject,1,0,0,0,0,0,0,1.0
domain_712,reject,1,0,0,0,0,0,0,1.0
domain_713,reject,1,0,0,0,0,0,0,1.0
domain_714,reject,1,0,0,0,0,0,0,1.0
domain_715,reject,1,0,0,0,0,0,0,1.0
domain_716,reject,1,0,0,0,0,0,0,1.0
domain_717,reject,1,0,0,0,0,0,0,1.0
domain_718,monitor,1,0,0,0,0,0,0,1.0
domain_719,reject,1,0,0,0,0,0,0,1.0
domain_720,unknown,1,0,0,0,0,0,0,1.0
domain_721,monitor,1,0,0,0,0,0,0,1.0
domain_722,monitor,1,0,0,0,0,0,0,1.0
domain_723,reject,1,0,0,0,0,0,0,1.0
domain_724,reject,1,0,0,0,0,0,0,1.0
domain_725,unknown,0,0,0,0,0,0,0,1.0
domain_726,unknown,1,0,0,0,0,0,0,1.0
domain_727,reject,0,0,0,0,0,0,0,1.0
domain_728,reject,0,0,0,0,0,0,0,1.0
domain_729,monitor,0,0,0,0,0,0,0,1.0
domain_730,reject,1,0,0,0,0,0,0,1.0
domain_731,reject,0,0,0,0,0,0,0,1.0
domain_732,reject,0,0,0,0,0,0,0,1.0
domain_733,reject,1,0,0,0,0,0,0,1.0
domain_734,reject,0,0,0,0,0,0,0,1.0
domain_735,reject,1,0,0,0,0,0,0,1.0
domain_736,reject,1,0,0,0,0,0,0,1.0
domain_737,unknown,0,0,0,0,0,0,0,1.0
domain_738,reject,1,0,0,0,0,0,0,1.0
domain_739,reject,1,0,0,0,0,0,0,1.0
domain_740,unknown,1,0,0,0,0,0,0,1.0
domain_741,monitor,0,0,0,0,0,0,0,1.0
domain_742,reject,1,0,0,0,0,0,0,1.0
domain_743,reject,1,0,0,0,0,0,0,1.0
domain_744,unknown,0,0,0,0,0,0,0,1.0
domain_745,reject,0,0,0,0,0,0,0,1.0
domain_746,reject,1,0,0,0,0,0,0,1.0
domain_747,reject,1,0,0,0,0,0,0,1.0
domain_748,reject,1,0,0,0,0,0,0,1.0
domain_749,reject,1,0,0,0,0,0,0,1.0
domain_750,monitor,0,0,0,0,0,0,0,1.0
domain_751,unknown,1,0,0,0,0,0,0,1.0
domain_752,unknown,1,0,0,0,0,0,0,1.0
domain_753,unknown,1,0,0,0,0,0,0,1.0
domain_754,unknown,1,0,0,0,0,0,0,1.0
domain_755,unknown,0,0,0,0,0,0,0,1.0
domain_756,unknown,1,0,0,0,0,0,0,1.0
domain_757,unknown,0,0,0,0,0,0,0,1.0
domain_758,unknown,1,0,0,0,0,0,0,1.0
domain_759,unknown,1,0,0,0,0,0,0,1.0
domain_760,unknown,1,0,0,0,0,0,0,1.0
domain_761,reject,1,0,0,0,0,0,0,1.0
domain_762,unknown,1,0,0,0,0,0,0,1.0
domain_763,unknown,0,0,0,0,0,0,0,1.0
domain_764,monitor,1,0,0,0,0,0,0,1.0
domain_765,reject,1,0,0,0,0,0,0,1.0
domain_766,reject,1,0,0,0,0,0,0,1.0
domain_767,reject,0,0,0,0,0,0,0,1.0
domain_768,unknown,1,0,0,0,0,0,0,1.0
domain_769,unknown,1,0,0,0,0,0,0,1.0
domain_770,reject,0,0,0,0,0,0,0,1.0
domain_771,reject,1,0,0,0,0,0,0,1.0
domain_772,monitor,0,0,0,0,0,0,0,1.0
domain_773,reject,0,0,0,0,0,0,0,1.0
domain_774,unknown,1,0,0,0,0,0,0,1.0
domain_775,reject,0,0,0,0,0,0,0,1.0
domain_776,reject,1,0,0,0,0,0,0,1.0
domain_777,reject,1,0,0,0,0,0,0,1.0
domain_778,reject,1,0,0,0,0,0,0,1.0
domain_779,reject,1,0,0,0,0,0,0,1.0
domain_780,reject,1,0,0,0,0,0,0,1.0
domain_781,reject,1,0,0,0,0,0,0,1.0
domain_782,reject,1,0,0,0,0,0,0,1.0
domain_783,unknown,0,0,0,0,0,0,0,1.0
domain_784,reject,0,0,0,0,0,0,0,1.0
domain_785,reject,1,0,0,0,0,0,0,1.0
domain_786,monitor,0,0,0,0,0,0,0,1.0
domain_787,reject,0,0,0,0,0,0,0,1.0
domain_788,reject,0,0,0,0,0,0,0,1.0
domain_789,reject,1,0,0,0,0,0,0,1.0
domain_790,monitor,1,0,0,0,0,0,0,1.0
domain_791,reject,1,0,0,0,0,0,0,1.0
domain_792,reject,0,0,0,0,0,0,0,1.0
domain_793,reject,0,0,0,0,0,0,0,1.0
domain_794,unknown,0,0,0,0,0,0,0,1.0
domain_795,unknown,1,0,0,0,0,0,0,1.0
domain_796,reject,1,0,0,0,0,0,0,1.0
domain_797,monitor,0,0,0,0,0,0,0,1.0
domain_798,reject,0,0,0,0,0,0,0,1.0
domain_799,monitor,0,0,0,0,0,0,0,1.0
domain_800,reject,0,0,0,0,0,0,0,1.0
domain_801,unknown,0,0,0,0,0,0,0,1.0
domain_802,reject,1,0,0,0,0,0,0,1.0
domain_803,unknown,0,0,0,0,0,0,0,1.0
domain_804,reject,1,0,0,0,0,0,0,1.0
domain_805,reject,1,0,0,0,0,0,0,1.0
domain_806,reject,1,0,0,0,0,0,0,1.0
domain_807,reject,1,0,0,0,0,0,0,1.0
domain_808,reject,0,0,0,0,0,0,0,1.0
domain_809,reject,1,0,0,0,0,0,0,1.0
domain_810,reject,1,0,0,0,0,0,0,1.0
domain_811,unknown,1,0,0,0,0,0,0,1.0
domain_812,unknown,1,0,0,0,0,0,0,1.0
domain_813,unknown,1,0,0,0,0,0,0,1.0
domain_814,unknown,1,0,0,0,0,0,0,1.0
domain_815,unknown,1,0,0,0,0,0,0,1.0
domain_816,monitor,1,0,0,0,0,0,0,1.0
domain_817,monitor,0,0,0,0,0,0,0,1.0
domain_818,reject,0,0,0,0,0,0,0,1.0
domain_819,reject,1,0,0,0,0,0,0,1.0
domain_820,unknown,1,0,0,0,0,0,0,1.0
domain_821,unknown,1,0,0,0,0,0,0,1.0
domain_822,reject,1,0,0,0,0,0,0,1.0
domain_823,reject,1,0,0,0,0,0,0,1.0
domain_824,unknown,1,0,0,0,0,0,0,1.0
domain_825,unknown,1,0,0,0,0,0,0,1.0
domain_826,unknown,0,0,0,0,0,0,0,1.0
domain_827,reject,1,0,0,0,0,0,0,1.0
domain_828,reject,0,0,0,0,0,0,0,1.0
domain_829,reject,1,0,0,0,0,0,0,1.0
domain_830,unknown,0,0,0,0,0,0,0,1.0
domain_831,reject,0,0,0,0,0,0,0,1.0
domain_832,reject,0,0,0,0,0,0,0,1.0
domain_833,reject,1,0,0,0,0,0,0,1.0
domain_834,reject,1,0,0,0,0,0,0,1.0
domain_835,reject,1,0,0,0,0,0,0,1.0
domain_836,reject,0,0,0,0,0,0,0,1.0
domain_837,reject,1,0,0,0,0,0,0,1.0
domain_838,reject,0,0,0,0,0,0,0,1.0
domain_839,unknown,1,0,0,0,0,0,0,1.0
domain_840,unknown,1,0,0,0,0,0,0,1.0
domain_841,reject,0,0,0,0,0,0,0,1.0
domain_842,reject,1,0,0,0,0,0,0,1.0
domain_843,unknown,1,0,0,0,0,0,0,1.0
domain_844,reject,1,0,0,0,0,0,0,1.0
domain_845,reject,1,0,0,0,0,0,0,1.0
domain_846,reject,0,0,0,0,0,0,0,1.0
domain_847,unknown,0,0,0,0,0,0,0,1.0
domain_848,monitor,0,0,0,0,0,0,0,1.0
domain_849,reject,0,0,0,0,0,0,0,1.0
domain_850,unknown,1,0,0,0,0,0,0,1.0
domain_851,reject,0,0,0,0,0,0,0,1.0
domain_852,monitor,0,0,0,0,0,0,0,1.0
domain_853,reject,0,0,0,0,0,0,0,1.0
domain_854,unknown,1,0,0,0,0,0,0,1.0
domain_855,reject,1,0,0,0,0,0,0,1.0
domain_856,unknown,0,0,0,0,0,0,0,1.0
domain_857,unknown,0,0,0,0,0,0,0,1.0
domain_858,unknown,0,0,0,0,0,0,0,1.0
domain_859,unknown,0,0,0,0,0,0,0,1.0
domain_860,unknown,1,0,0,0,0,0,0,1.0
domain_861,unknown,0,0,0,0,0,0,0,1.0
domain_862,reject,1,0,0,0,0,0,0,1.0
domain_863,reject,0,0,0,0,0,0,0,1.0
domain_864,unknown,1,0,0,0,0,0,0,1.0
domain_865,unknown,0,0,0,0,0,0,0,1.0
domain_866,reject,0,0,0,0,0,0,0,1.0
domain_867,reject,1,0,0,0,0,0,0,1.0
domain_868,reject,0,0,0,0,0,0,0,1.0
domain_869,reject,1,0,0,0,0,0,0,1.0
domain_870,reject,1,0,0,0,0,0,0,1.0
domain_871,reject,1,0,0,0,0,0,0,1.0
domain_872,reject,1,0,0,0,0,0,0,1.0
domain_873,unknown,1,0,0,0,0,0,0,1.0
domain_874,reject,1,0,0,0,0,0,0,1.0
domain_875,unknown,1,0,0,0,0,0,0,1.0
domain_876,reject,1,0,0,0,0,0,0,1.0
domain_877,unknown,0,0,0,0,0,0,0,1.0
domain_878,reject,0,0,0,0,0,0,0,1.0
domain_879,reject,1,0,0,0,0,0,0,1.0
domain_880,reject,1,0,0,0,0,0,0,1.0
domain_881,reject,1,0,0,0,0,0,0,1.0
domain_882,unknown,1,0,0,0,0,0,0,1.0
domain_883,reject,1,0,0,0,0,0,0,1.0
domain_884,reject,1,0,0,0,0,0,0,1.0
domain_885,unknown,1,0,0,0,0,0,0,1.0
domain_886,unknown,1,0,0,0,0,0,0,1.0
domain_887,reject,1,0,0,0,0,0,0,1.0
domain_888,reject,1,0,0,0,0,0,0,1.0
domain_889,reject,1,0,0,0,0,0,0,1.0
domain_890,reject,1,0,0,0,0,0,0,1.0
domain_891,unknown,1,0,0,0,0,0,0,1.0
domain_892,reject,1,0,0,0,0,0,0,1.0
domain_893,reject,0,0,0,0,0,0,0,1.0
domain_894,reject,1,0,0,0,0,0,0,1.0
domain_895,reject,1,0,0,0,0,0,0,1.0
domain_896,reject,1,0,0,0,0,0,0,1.0
domain_897,reject,1,0,0,0,0,0,0,1.0
domain_898,reject,1,0,0,0,0,0,0,1.0
domain_899,reject,1,0,0,0,0,0,0,1.0
domain_900,reject,1,0,0,0,0,0,0,1.0
domain_901,reject,1,0,0,0,0,0,0,1.0
domain_902,unknown,1,0,0,0,0,0,0,1.0
domain_903,reject,1,0,0,0,0,0,0,1.0
domain_904,unknown,1,0,0,0,0,0,0,1.0
domain_905,unknown,1,0,0,0,0,0,0,1.0
domain_906,reject,1,0,0,0,0,0,0,1.0
domain_907,reject,1,0,0,0,0,0,0,1.0
domain_908,reject,1,0,0,0,0,0,0,1.0
domain_909,reject,1,0,0,0,0,0,0,1.0
domain_910,reject,1,0,0,0,0,0,0,1.0
domain_911,reject,1,0,0,0,0,0,0,1.0
domain_912,unknown,1,0,0,0,0,0,0,1.0
domain_913,reject,1,0,0,0,0,0,0,1.0
domain_914,reject,1,0,0,0,0,0,0,1.0
domain_915,monitor,0,0,0,0,0,0,0,1.0
domain_916,reject,1,0,0,0,0,0,0,1.0
